"PID_PRCPID","OID_CNT","FirstOfUSE_MAIN","MAX_FLR","TOT_FLRARE","A_ATHLETIC","A_ACADEMIC","A_PUBLCASM","A_FIREPOL","A_GARAGE","A_HOTEL","A_LIBRARY","A_MALL","A_MEDICAL","A_MUSEUM","A_OFFICE","A_RESIDENT","A_RESTRNT","A_RETAIL","A_SUPERMRK","A_SCHOOL","A_WORSHIP"
"0502587000",3,"Residential",6,1383.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1383.57,0.00,0.00,0.00,0.00,0.00
"0502588000",3,"Residential",6,1430.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1430.67,0.00,0.00,0.00,0.00,0.00
"0502589000",2,"Residential",6,1085.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,802.78,0.00,282.79,0.00,0.00,0.00
"0502590000",3,"Residential",6,2392.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2392.97,0.00,0.00,0.00,0.00,0.00
"0502591000",1,"Residential",6,859.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,859.51,0.00,0.00,0.00,0.00,0.00
"0502592000",1,"Residential",5,1396.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1396.92,0.00,0.00,0.00,0.00,0.00
"0502593000",3,"Residential",7,1146.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1146.52,0.00,0.00,0.00,0.00,0.00
"0502594000",1,"Residential",6,1298.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1298.19,0.00,0.00,0.00,0.00,0.00
"0502595000",2,"Residential",6,1554.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1554.18,0.00,0.00,0.00,0.00,0.00
"0502596000",1,"Office",5,1250.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1250.49,0.00,0.00,0.00,0.00,0.00,0.00
"0502597000",1,"Residential",11,4123.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4123.70,0.00,0.00,0.00,0.00,0.00
"0502598000",2,"Residential",19,19051.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1176.65,17875.17,0.00,0.00,0.00,0.00,0.00
"0502601000",1,"Residential",7,1639.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1639.73,0.00,0.00,0.00,0.00,0.00
"0502602000",2,"Residential",6,1281.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1281.46,0.00,0.00,0.00,0.00,0.00
"0502603000",1,"Residential",6,925.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,925.33,0.00,0.00,0.00,0.00,0.00
"0502604000",2,"Residential",6,1382.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1382.19,0.00,0.00,0.00,0.00,0.00
"0502605000",2,"Residential",6,1051.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1051.19,0.00,0.00,0.00,0.00,0.00
"0502606000",1,"Residential",6,519.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,519.12,0.00,0.00,0.00,0.00,0.00
"0502607000",2,"Residential",6,738.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,738.12,0.00,0.00,0.00,0.00,0.00
"0502608000",2,"Residential",6,1012.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1012.51,0.00,0.00,0.00,0.00,0.00
"0502609000",2,"Residential",6,929.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,929.01,0.00,0.00,0.00,0.00,0.00
"0502610000",2,"Residential",6,1698.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1698.37,0.00,0.00,0.00,0.00,0.00
"0502612000",1,"Residential",6,713.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,713.58,0.00,0.00,0.00,0.00,0.00
"0502613000",2,"Residential",6,821.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,821.96,0.00,0.00,0.00,0.00,0.00
"0502614000",2,"Residential",6,885.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,885.78,0.00,0.00,0.00,0.00,0.00
"0502615000",3,"Residential",6,778.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,778.84,0.00,0.00,0.00,0.00,0.00
"0502616000",2,"Residential",6,960.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,960.19,0.00,0.00,0.00,0.00,0.00
"0502617000",2,"Residential",6,740.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,740.61,0.00,0.00,0.00,0.00,0.00
"0502618000",2,"Residential",6,571.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,571.51,0.00,0.00,0.00,0.00,0.00
"0502619000",1,"Residential",6,1564.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1564.24,0.00,0.00,0.00,0.00,0.00
"0502621000",1,"Residential",6,1606.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1606.49,0.00,0.00,0.00,0.00,0.00
"0502622000",1,"Residential",6,735.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,735.13,0.00,0.00,0.00,0.00,0.00
"0502624000",2,"Residential",6,1592.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1592.62,0.00,0.00,0.00,0.00,0.00
"0502625000",2,"Residential",6,1177.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1177.29,0.00,0.00,0.00,0.00,0.00
"0502626000",2,"Residential",6,1307.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1307.86,0.00,0.00,0.00,0.00,0.00
"0502627000",2,"Residential",6,3713.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3713.17,0.00,0.00,0.00,0.00,0.00
"0502630000",1,"Residential",6,1434.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1434.15,0.00,0.00,0.00,0.00,0.00
"0502631000",1,"Residential",6,2155.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2155.10,0.00,0.00,0.00,0.00,0.00
"0502633000",1,"Residential",11,5211.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5211.52,0.00,0.00,0.00,0.00,0.00
"0502634000",1,"Residential",7,1682.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1682.26,0.00,0.00,0.00,0.00,0.00
"0502635000",3,"Residential",7,2350.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2350.87,0.00,0.00,0.00,0.00,0.00
"0502637000",1,"Office",7,804.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,804.76,0.00,0.00,0.00,0.00,0.00,0.00
"0502638000",1,"Office",6,1628.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1628.56,0.00,0.00,0.00,0.00,0.00,0.00
"0502639000",1,"Office",5,1386.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1386.69,0.00,0.00,0.00,0.00,0.00,0.00
"0502639001",4,"Residential",6,2679.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2679.01,0.00,0.00,0.00,0.00,0.00
"0502640000",1,"Residential",10,4593.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4593.60,0.00,0.00,0.00,0.00,0.00
"0502641000",2,"Residential",7,4687.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4687.78,0.00,0.00,0.00,0.00,0.00
"0502642000",1,"Residential",5,1296.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1296.12,0.00,0.00,0.00,0.00,0.00
"0502643000",2,"Residential",5,842.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,842.42,0.00,0.00,0.00,0.00,0.00
"0502644000",3,"Residential",6,1028.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1028.15,0.00,0.00,0.00,0.00,0.00
"0502645000",2,"Residential",6,974.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,974.84,0.00,0.00,0.00,0.00,0.00
"0502646000",1,"Residential",5,790.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,790.36,0.00,0.00,0.00,0.00,0.00
"0502647000",2,"Residential",5,870.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,870.34,0.00,0.00,0.00,0.00,0.00
"0502648000",1,"Residential",5,733.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,733.90,0.00,0.00,0.00,0.00,0.00
"0502649000",1,"Residential",5,743.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,743.16,0.00,0.00,0.00,0.00,0.00
"0502650000",2,"Residential",5,911.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,911.36,0.00,0.00,0.00,0.00,0.00
"0502651000",1,"Residential",5,1169.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1169.95,0.00,0.00,0.00,0.00,0.00
"0502652000",1,"Residential",5,1089.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1089.47,0.00,0.00,0.00,0.00,0.00
"0502653000",1,"Residential",5,994.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,994.41,0.00,0.00,0.00,0.00,0.00
"0502654000",2,"Residential",6,1187.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1187.46,0.00,0.00,0.00,0.00,0.00
"0502655000",2,"Residential",6,765.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,765.63,0.00,0.00,0.00,0.00,0.00
"0502656000",1,"Residential",5,778.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,778.98,0.00,0.00,0.00,0.00,0.00
"0502657000",1,"Residential",5,672.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,672.53,0.00,0.00,0.00,0.00,0.00
"0502658000",1,"Residential",7,1847.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1847.08,0.00,0.00,0.00,0.00,0.00
"0502659000",1,"Residential",7,3324.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3324.36,0.00,0.00,0.00,0.00,0.00
"0502660000",2,"Residential",6,937.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,937.80,0.00,0.00,0.00,0.00,0.00
"0502661000",1,"Residential",5,745.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,745.89,0.00,0.00,0.00,0.00,0.00
"0502662000",1,"Residential",5,770.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,770.92,0.00,0.00,0.00,0.00,0.00
"0502663000",1,"Residential",6,946.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,946.79,0.00,0.00,0.00,0.00,0.00
"0502664000",2,"Residential",6,1874.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1874.04,0.00,0.00,0.00,0.00,0.00
"0502666000",1,"Residential",5,1496.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1496.07,0.00,0.00,0.00,0.00,0.00
"0502668000",1,"Residential",5,794.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,794.38,0.00,0.00,0.00,0.00,0.00
"0502669000",1,"Residential",5,772.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,772.61,0.00,0.00,0.00,0.00,0.00
"0502670000",2,"Residential",6,910.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,910.79,0.00,0.00,0.00,0.00,0.00
"0502671000",1,"Residential",5,773.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,773.53,0.00,0.00,0.00,0.00,0.00
"0502672000",1,"Residential",6,755.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,755.05,0.00,0.00,0.00,0.00,0.00
"0502673000",1,"Residential",6,606.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,606.38,0.00,0.00,0.00,0.00,0.00
"0502674000",1,"Residential",6,757.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,757.14,0.00,0.00,0.00,0.00,0.00
"0502675000",1,"Residential",6,657.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,657.70,0.00,0.00,0.00,0.00,0.00
"0502676000",1,"Residential",7,1264.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1264.43,0.00,0.00,0.00,0.00,0.00
"0502677000",1,"Residential",8,2895.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2895.65,0.00,0.00,0.00,0.00,0.00
"0502678000",1,"Residential",8,2233.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2233.10,0.00,0.00,0.00,0.00,0.00
"0502679000",1,"Residential",5,1044.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1044.07,0.00,0.00,0.00,0.00,0.00
"0502680000",1,"Residential",5,1051.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,210.24,840.96,0.00,0.00,0.00,0.00,0.00
"0502681000",1,"Residential",6,2377.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2377.53,0.00,0.00,0.00,0.00,0.00
"0502682000",1,"Residential",5,674.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,674.34,0.00,0.00,0.00,0.00,0.00
"0502683000",1,"Residential",6,717.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,717.74,0.00,0.00,0.00,0.00,0.00
"0502684000",1,"Residential",5,538.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,538.43,0.00,0.00,0.00,0.00,0.00
"0502685000",2,"Residential",5,583.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,583.74,0.00,0.00,0.00,0.00,0.00
"0502686000",2,"Residential",5,535.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,535.68,0.00,0.00,0.00,0.00,0.00
"0502687000",1,"Residential",5,531.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,531.31,0.00,0.00,0.00,0.00,0.00
"0502688000",1,"Hotel",5,592.12,0.00,0.00,0.00,0.00,0.00,592.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"0502689000",1,"Residential",6,890.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,890.65,0.00,0.00,0.00,0.00,0.00
"0502690000",1,"Residential",6,603.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,603.94,0.00,0.00,0.00,0.00,0.00
"0502691000",1,"Residential",6,778.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,778.66,0.00,0.00,0.00,0.00,0.00
"0502692000",1,"Residential",6,641.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,641.28,0.00,0.00,0.00,0.00,0.00
"0502693000",1,"Residential",6,729.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,729.97,0.00,0.00,0.00,0.00,0.00
"0502694000",2,"Residential",6,744.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,744.87,0.00,0.00,0.00,0.00,0.00
"0502695000",1,"Residential",6,679.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,679.72,0.00,0.00,0.00,0.00,0.00
"0502696000",1,"Residential",6,766.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,766.98,0.00,0.00,0.00,0.00,0.00
"0502697000",2,"Residential",6,986.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,986.46,0.00,0.00,0.00,0.00,0.00
"0502698000",1,"Residential",6,837.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,837.60,0.00,0.00,0.00,0.00,0.00
"0502699000",1,"Residential",6,733.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,733.12,0.00,0.00,0.00,0.00,0.00
"0502700000",1,"Residential",6,951.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,951.74,0.00,0.00,0.00,0.00,0.00
"0502701000",1,"Residential",6,727.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,727.51,0.00,0.00,0.00,0.00,0.00
"0502702000",1,"Residential",6,822.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,822.79,0.00,0.00,0.00,0.00,0.00
"0502703000",1,"Residential",5,878.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,878.47,0.00,0.00,0.00,0.00,0.00
"0502704000",1,"Residential",5,943.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,943.28,0.00,0.00,0.00,0.00,0.00
"0502704001",1,"Residential",4,1110.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1110.07,0.00,0.00,0.00,0.00,0.00
"0502705000",1,"Residential",4,879.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,879.24,0.00,0.00,0.00,0.00,0.00
"0502706000",1,"Residential",4,664.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,664.68,0.00,0.00,0.00,0.00,0.00
"0502707000",1,"Residential",4,559.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,559.58,0.00,0.00,0.00,0.00,0.00
"0502708000",1,"SchoolDaycare",5,810.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,810.74,0.00,0.00
"0502709000",1,"Residential",5,726.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,726.97,0.00,0.00,0.00,0.00,0.00
"0502710000",1,"Residential",6,949.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,949.18,0.00,0.00,0.00,0.00,0.00
"0502711000",1,"Residential",4,559.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,559.02,0.00,0.00,0.00,0.00,0.00
"0502712000",1,"Residential",5,749.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,749.35,0.00,0.00,0.00,0.00,0.00
"0502713000",2,"Residential",5,671.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,671.65,0.00,0.00,0.00,0.00,0.00
"0502714000",1,"Residential",5,737.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,737.69,0.00,0.00,0.00,0.00,0.00
"0502715000",1,"Residential",5,712.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,712.17,0.00,0.00,0.00,0.00,0.00
"0502716000",1,"Residential",5,744.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,744.68,0.00,0.00,0.00,0.00,0.00
"0502717000",1,"Residential",5,737.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,737.46,0.00,0.00,0.00,0.00,0.00
"0502718000",1,"Residential",5,709.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,709.42,0.00,0.00,0.00,0.00,0.00
"0502719000",2,"Residential",6,1065.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1065.19,0.00,0.00,0.00,0.00,0.00
"0502720000",1,"Residential",5,888.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,888.07,0.00,0.00,0.00,0.00,0.00
"0502721000",2,"Residential",6,2417.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2417.02,0.00,0.00,0.00,0.00,0.00
"0502723000",1,"Residential",9,2445.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2445.20,0.00,0.00,0.00,0.00,0.00
"0502724000",1,"Residential",5,409.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,409.66,0.00,0.00,0.00,0.00,0.00
"0502725000",1,"Residential",6,1064.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1064.99,0.00,0.00,0.00,0.00,0.00
"0502726000",1,"Residential",6,1105.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1105.44,0.00,0.00,0.00,0.00,0.00
"0502727000",1,"Residential",6,839.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,839.69,0.00,0.00,0.00,0.00,0.00
"0502728000",1,"Residential",6,797.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,797.85,0.00,0.00,0.00,0.00,0.00
"0502729000",1,"Residential",6,758.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,758.38,0.00,0.00,0.00,0.00,0.00
"0502730000",2,"Residential",6,849.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,849.56,0.00,0.00,0.00,0.00,0.00
"0502731000",1,"Residential",6,771.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,771.48,0.00,0.00,0.00,0.00,0.00
"0502732000",1,"Residential",5,529.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,529.37,0.00,0.00,0.00,0.00,0.00
"0502733000",2,"Residential",5,836.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,836.37,0.00,0.00,0.00,0.00,0.00
"0502734000",1,"Residential",6,858.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,858.90,0.00,0.00,0.00,0.00,0.00
"0502735000",1,"Residential",6,713.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,713.28,0.00,0.00,0.00,0.00,0.00
"0502736000",1,"Residential",6,730.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,730.06,0.00,0.00,0.00,0.00,0.00
"0502737000",1,"Residential",6,562.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,562.43,0.00,0.00,0.00,0.00,0.00
"0502738000",1,"Residential",6,776.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,776.98,0.00,0.00,0.00,0.00,0.00
"0502739000",1,"Residential",6,825.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,825.05,0.00,0.00,0.00,0.00,0.00
"0502740000",1,"Residential",6,812.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,812.53,0.00,0.00,0.00,0.00,0.00
"0502741000",1,"Residential",6,1612.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1612.35,0.00,0.00,0.00,0.00,0.00
"0502743000",1,"Residential",6,671.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,671.88,0.00,0.00,0.00,0.00,0.00
"0502744000",1,"Residential",6,903.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,903.92,0.00,0.00,0.00,0.00,0.00
"0502745000",1,"Residential",6,662.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,662.41,0.00,0.00,0.00,0.00,0.00
"0502746000",1,"Residential",6,755.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,755.50,0.00,0.00,0.00,0.00,0.00
"0502747000",1,"Residential",6,610.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,610.49,0.00,0.00,0.00,0.00,0.00
"0502748000",1,"Residential",6,754.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,754.01,0.00,0.00,0.00,0.00,0.00
"0502749000",1,"Residential",6,601.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,601.25,0.00,0.00,0.00,0.00,0.00
"0502750010",1,"Residential",6,1303.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1303.37,0.00,0.00,0.00,0.00,0.00
"0502752000",2,"Residential",6,829.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,829.10,0.00,0.00,0.00,0.00,0.00
"0502753000",1,"Residential",4,637.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,637.50,0.00,0.00,0.00,0.00,0.00
"0502754000",1,"Residential",4,455.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,455.71,0.00,0.00,0.00,0.00,0.00
"0502755000",1,"Residential",4,425.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,425.77,0.00,0.00,0.00,0.00,0.00
